time,abgw_detached_files,instance
25_05_15:55,0,10.253.40.31:44444
25_05_15:00,0,10.253.40.32:44444
25_05_15:05,1,10.253.40.32:44444
25_05_15:10,0,10.253.40.32:44444
25_05_15:15,0,10.253.40.32:44444
25_05_15:20,0,10.253.40.32:44444
25_05_15:25,0,10.253.40.32:44444
25_05_15:30,0,10.253.40.32:44444
25_05_15:35,0,10.253.40.32:44444
25_05_15:40,0,10.253.40.32:44444
25_05_15:45,0,10.253.40.32:44444
25_05_15:50,0,10.253.40.32:44444
25_05_15:55,0,10.253.40.32:44444
25_05_15:00,0,10.253.40.33:44444
25_05_15:05,0,10.253.40.33:44444
25_05_15:10,0,10.253.40.33:44444
25_05_15:15,0,10.253.40.33:44444
25_05_15:20,0,10.253.40.33:44444
25_05_15:25,0,10.253.40.33:44444
25_05_15:30,0,10.253.40.33:44444
25_05_15:35,0,10.253.40.33:44444
25_05_15:40,0,10.253.40.33:44444
25_05_15:45,0,10.253.40.33:44444
25_05_15:50,0,10.253.40.33:44444
25_05_15:55,0,10.253.40.33:44444
25_05_15:00,0,10.253.40.34:44444
25_05_15:05,0,10.253.40.34:44444
25_05_15:10,0,10.253.40.34:44444
25_05_15:15,0,10.253.40.34:44444
25_05_15:20,0,10.253.40.34:44444
25_05_15:25,0,10.253.40.34:44444
25_05_15:30,0,10.253.40.34:44444
25_05_15:35,0,10.253.40.34:44444
25_05_15:40,0,10.253.40.34:44444
25_05_15:45,0,10.253.40.34:44444
25_05_15:50,2,10.253.40.34:44444
25_05_15:55,0,10.253.40.34:44444
25_05_15:00,0,10.253.40.35:44444
25_05_15:05,0,10.253.40.35:44444
25_05_15:10,0,10.253.40.35:44444
25_05_15:15,0,10.253.40.35:44444
25_05_15:20,0,10.253.40.35:44444
25_05_15:25,0,10.253.40.35:44444
25_05_15:30,0,10.253.40.35:44444
25_05_15:35,0,10.253.40.35:44444
25_05_15:40,0,10.253.40.35:44444
25_05_15:45,0,10.253.40.35:44444
25_05_15:50,0,10.253.40.35:44444
25_05_15:55,0,10.253.40.35:44444
